"title","description","audienceRoleIds","channels","attachments","citizenReactions","comments"
"स्वच्छ भारत मिशन","स्वच्छ भारत मिशन का उद्देश्य पूरे देश में स्वच्छता के स्तर को बढ़ाना है। सभी नागरिकों से अपील की जाती है कि वे स्वच्छता बनाए रखें और खुले में शौच न करें।","[""CITIZEN""]","[""message"",""email"",""posts"",""whatsapp""]","[""swachh_bharat_poster.jpg""]","{"likes": 1500, "shares": 300, "comments": 250}","{"user1": "बहुत अच्छी पहल!", "user2": "हम सबको इसमें भाग लेना चाहिए।"}"
"Pradhan Mantri Gramin Awas Yojana","The government has launched the Pradhan Mantri Gramin Awas Yojana to provide affordable housing to the rural poor. Eligible families will receive financial assistance to build pucca houses.","[""CITIZEN""]","[""message"",""email"",""posts"",""whatsapp""]","[""pmgsy_brochure.pdf""]","{"likes": 1200, "shares": 250, "comments": 200}","{"user1": "Great initiative for rural development.", "user2": "How can we apply for this scheme?"}"
"PM Gati Shakti","PM Gati Shakti योजना के माध्यम से, सरकार मल्टी-मॉडल कनेक्टिविटी में सुधार कर रही है, जिससे परिवहन और लॉजिस्टिक्स में दक्षता बढ़ेगी।","[""BUSINESS"",""CITIZEN""]","[""message"",""email"",""posts"",""whatsapp""]","[""gati_shakti_infographic.png""]","{"likes": 900, "shares": 180, "comments": 150}","{"user1": "उद्योगों के लिए लाभकारी योजना।", "user2": "आर्थिक विकास में मदद मिलेगी।"}"
"Solar Cell Manufacturing Policy","The government mandates the use of locally-made solar cells in clean energy projects from June 2026 to boost domestic manufacturing and reduce reliance on imports.","[""BUSINESS"",""CITIZEN""]","[""message"",""email"",""posts"",""whatsapp""]","[""solar_policy_document.pdf""]","{"likes": 1100, "shares": 220, "comments": 180}","{"user1": "This will strengthen local industries.", "user2": "A step towards self-reliance."}"
"Regional Rural Banks Merger","सरकार ने क्षेत्रीय ग्रामीण बैंकों के विलय का प्रस्ताव रखा है, जिससे उनकी संख्या 43 से घटकर 28 हो जाएगी। इससे उनकी पूंजी आधार मजबूत होगी और ग्रामीण क्षेत्रों में बेहतर बैंकिंग सेवाएं मिलेंगी।","[""BUSINESS"",""CITIZEN""]","[""message"",""email"",""posts"",""whatsapp""]","[""rrb_merger_faq.pdf""]","{"likes": 800, "shares": 160, "comments": 130}","{"user1": "ग्रामीण बैंकिंग के लिए अच्छा कदम।", "user2": "ग्रामीण अर्थव्यवस्था को लाभ होगा।"}"
"Graduation Ceremony Dress Code Change","The government has banned the use of black gowns and mortarboards in state-owned medical college graduation ceremonies, promoting traditional Indian attire instead.","[""STUDENT"",""EDUCATION""]","[""message"",""email"",""posts"",""whatsapp""]","[""dress_code_guidelines.pdf""]","{"likes": 700, "shares": 140, "comments": 120}","{"user1": "A move to embrace our culture.", "user2": "Traditional attire will look great."}"
"Assured Pension Scheme","सरकार ने संघीय सरकारी कर्मचारियों के लिए एक आश्वासित पेंशन योजना को मंजूरी दी है, जिसमें सेवानिवृत्ति के बाद उनके अंतिम वेतन का 50% पेंशन के रूप में मिलेगा। यह योजना 1 अप्रैल 2025 से लागू होगी।","[""GOVERNMENT_EMPLOYEE""]","[""message"",""email"",""posts"",""whatsapp""]","[""pension_scheme_details.pdf""]","{"likes": 1300, "shares": 260, "comments": 220}","{"user1": "सरकारी कर्मचारियों के लिए राहत भरी खबर।", "user2": "पेंशन योजना में सुधार की आवश्यकता थी।"}"
"Windfall Tax Reduction","The government has reduced the windfall tax on petroleum crude from ₹4,600 per metric ton to ₹2,100 per metric ton, effective from August 17, 2024.","[""BUSINESS""]","[""message"",""email"",""posts"",""whatsapp""]","[""tax_reduction_notice.pdf""]","{"likes": 600, "shares": 120, "comments": 100}","{"user1": "This will benefit the oil industry.", "user2": "Hope it leads to reduced fuel prices."}"
"Budget 2025-26 Highlights","बजट 2025-26 में, सरकार ने मध्यम वर्ग के लिए आयकर दरों में कटौती की है और निजी निवेश को बढ़ावा देने के लिए उपाय किए हैं। हालांकि, आर्थिक वृद्धि की गति पिछले चार वर्षों में सबसे धीमी रहने की उम्मीद है।","[""CITIZEN"",""BUSINESS""]","[""message"",""email"",""posts"",""whatsapp""]","[""budget_highlights_2025.pdf""]","{"likes": 1400, "shares": 280, "comments": 240}","{"user1": "आयकर में कटौती से राहत मिलेगी।", "user2": "आर्थिक वृद्धि पर ध्यान देना आवश्यक है।"}"
"किसान ऋण माफी योजना","राज्य सरकार ने किसानों के लिए नई ऋण माफी योजना की घोषणा की है, जिससे 10 लाख किसानों को लाभ होगा।","DEPARTMENT_HEAD","[""message"",""email""]","[""kisan_loan_waiver.pdf""]","[""धन्यवाद सरकार!""]","[""यह एक स्वागत योग्य कदम है।""]"
"महिला सुरक्षा अभियान","महिलाओं की सुरक्षा के लिए विशेष अभियान शुरू किया गया है, जिसमें हेल्पलाइन नंबर और सुरक्षा ऐप की जानकारी दी जाएगी।","FIELD_OFFICER","[""posts"",""whatsapp""]","[""women_safety_campaign.jpg""]","[""सराहनीय पहल!""]","[""महिलाओं के लिए यह बहुत उपयोगी होगा।""]"
"स्वच्छता अभियान","स्वच्छ भारत मिशन के तहत नए स्वच्छता अभियान की शुरुआत की गई है, जिसमें सभी नागरिकों की भागीदारी आवश्यक है।","ADMIN","[""email"",""posts""]","[""swachh_bharat_abhiyan.docx""]","[""हम तैयार हैं!""]","[""सभी को इसमें शामिल होना चाहिए।""]"
"शिक्षक प्रशिक्षण कार्यक्रम","शिक्षकों के लिए नए प्रशिक्षण कार्यक्रम की घोषणा की गई है, जो अगले महीने से शुरू होगा।","DEPARTMENT_HEAD","[""message"",""email""]","[""teacher_training_schedule.pdf""]","[""शिक्षकों के लिए यह बहुत लाभदायक होगा।""]","[""उत्कृष्ट पहल!""]"
"डिजिटल इंडिया पहल","सरकार ने डिजिटल सेवाओं के उपयोग को बढ़ावा देने के लिए नई पहल की घोषणा की है।","FIELD_OFFICER","[""posts"",""whatsapp""]","[""digital_india_initiative.png""]","[""डिजिटल इंडिया की ओर एक और कदम।""]","[""यह नागरिकों के लिए बहुत उपयोगी होगा।""]"
"स्वास्थ्य शिविर","ग्रामीण क्षेत्रों में नि:शुल्क स्वास्थ्य शिविरों का आयोजन किया जाएगा।","ADMIN","[""email"",""posts""]","[""health_camp_schedule.pdf""]","[""स्वास्थ्य के लिए अच्छा कदम।""]","[""हम इसमें भाग लेंगे।""]"
"जल संरक्षण अभियान","जल संरक्षण के लिए विशेष अभियान शुरू किया गया है।","DEPARTMENT_HEAD","[""message"",""email""]","[""water_conservation_campaign.jpg""]","[""जल ही जीवन है।""]","[""सभी को इसमें शामिल होना चाहिए।""]"
"सड़क सुरक्षा सप्ताह","सड़क सुरक्षा के प्रति जागरूकता बढ़ाने के लिए विशेष सप्ताह का आयोजन किया जाएगा।","FIELD_OFFICER","[""posts"",""whatsapp""]","[""road_safety_week_poster.png""]","[""सड़क सुरक्षा महत्वपूर्ण है।""]","[""हम इसका समर्थन करते हैं।""]"
"कौशल विकास कार्यक्रम","युवाओं के लिए नए कौशल विकास कार्यक्रम की घोषणा की गई है।","ADMIN","[""email"",""posts""]","[""skill_development_program.pdf""]","[""युवाओं के लिए अच्छा अवसर।""]","[""हम इसमें भाग लेंगे।""]"
"पर्यावरण संरक्षण दिवस","पर्यावरण संरक्षण के लिए विशेष दिवस का आयोजन किया जाएगा।","DEPARTMENT_HEAD","[""message"",""email""]","[""environment_protection_day.jpg""]","[""पर्यावरण की रक्षा आवश्यक है।""]","[""सभी को इसमें शामिल होना चाहिए।""]"
"बालिका शिक्षा प्रोत्साहन","बालिकाओं की शिक्षा को बढ़ावा देने के लिए नई योजना की घोषणा की गई है।","FIELD_OFFICER","[""posts"",""whatsapp""]","[""girl_child_education_scheme.pdf""]","[""बालिकाओं के लिए अच्छा कदम।""]","[""हम इसका समर्थन करते हैं।""]"
"वरिष्ठ नागरिक सहायता","वरिष्ठ नागरिकों के लिए विशेष सहायता कार्यक्रम की घोषणा की गई है।","ADMIN","[""email"",""posts""]","[""senior_citizen_assistance_program.pdf""]","[""वरिष्ठ नागरिकों के लिए अच्छा कदम।""]","[""हम इसमें भाग लेंगे।""]"
"स्वच्छ ऊर्जा योजना","स्वच्छ ऊर्जा के उपयोग को बढ़ावा देने के लिए नई योजना की घोषणा की गई है।","DEPARTMENT_HEAD","[""message"",""email""]","[""clean_energy_scheme.pdf""]","[""स्वच्छ ऊर्जा की ओर एक और कदम।""]","[""यह पर्यावरण के लिए अच्छा है।""]"
