notificationId,citizenId,issueId,isSerious,isRead,createdAt,priorityLevel,title
NOTIF001,CITIZEN123,ISSUE001,true,false,2025-02-01T10:00:00Z,High,Water Leakage in Sector 5
NOTIF002,CITIZEN124,ISSUE002,false,true,2025-02-02T11:30:00Z,Medium,Street Light Not Working
NOTIF003,CITIZEN125,ISSUE003,true,true,2025-02-03T09:15:00Z,High,Unauthorized Construction Alert
NOTIF004,CITIZEN126,ISSUE004,false,false,2025-02-04T14:45:00Z,Low,Garbage Collection Delay
NOTIF005,CITIZEN127,ISSUE005,true,false,2025-02-05T08:20:00Z,High,Blocked Drainage in Area 12
NOTIF006,CITIZEN128,ISSUE006,false,true,2025-02-06T16:00:00Z,Medium,Noise Pollution Complaint
NOTIF007,CITIZEN129,ISSUE007,true,true,2025-02-07T13:30:00Z,High,Illegal Parking Issue
NOTIF008,CITIZEN130,ISSUE008,false,false,2025-02-08T11:00:00Z,Low,Tree Pruning Request
NOTIF009,CITIZEN131,ISSUE009,true,false,2025-02-09T15:45:00Z,High,Open Manhole in Street 9
NOTIF010,CITIZEN132,ISSUE010,false,true,2025-02-10T10:30:00Z,Medium,Public Park Maintenance
