"443, Cottage 9",Nehru Marg,Opposite Shopping Complex,Aliganj,Bijnor,Uttar Pradesh,246701
"294, Cottage 6",Ravindrapuri Road,Near Metro Station,Vikas Nagar,Deoria,Uttar Pradesh,274001
"390, Bungalow 30",Vikas Marg,Close to Bus Stand,Shyam Nagar,Kanpur,Uttar Pradesh,208001
"188, Bungalow 30",Ashok Marg,Behind Post Office,Mahanagar,Unnao,Uttar Pradesh,209801
"81, Apt. 22",Mall Road,Next to Central Park,Ashiyana,Hapur,Uttar Pradesh,245101
"344, Villa 7",Ambedkar Road,Close to Bus Stand,Lal Bangla,Hapur,Uttar Pradesh,245101
"217, Bungalow 17",Jawahar Road,Near Industrial Area,Raj Nagar,Etawah,Uttar Pradesh,206001
"152, Cottage 13",Station Road,Near Main Market,Shahganj,Ayodhya,Uttar Pradesh,224123
"154, Apt. 13",Ravindrapuri Road,Near Industrial Area,Kalyanpur,Ayodhya,Uttar Pradesh,224123
"400, Cottage 24",Tilak Road,Next to Temple,Kidwai Nagar,Mau,Uttar Pradesh,275101
"272, Cottage 29",Gandhi Chowk,Near Industrial Area,Shyam Nagar,Bareilly,Uttar Pradesh,243001
"456, Apt. 6",Rajendra Nagar Road,Near Metro Station,Sigra,Farrukhabad,Uttar Pradesh,209625
"100, Bungalow 25",Lal Bahadur Shastri Road,Behind Post Office,Ashiyana,Prayagraj,Uttar Pradesh,211001
"173, House 15",Mahatma Gandhi Road,Next to Central Park,Lal Bangla,Jhansi,Uttar Pradesh,284001
"351, Bungalow 9",Jawahar Road,Next to Community Center,Kalyanpur,Etawah,Uttar Pradesh,206001
"314, Cottage 11",Vivekananda Path,Adjacent to Police Station,Vikas Nagar,Meerut,Uttar Pradesh,250001
"269, House 14",Jawahar Road,Adjacent to Police Station,Model Town,Agra,Uttar Pradesh,282001
"74, Villa 10",Ravindrapuri Road,Close to Airport,GT Road,Firozabad,Uttar Pradesh,283203
"354, House 18",Gandhi Chowk,Opposite City Mall,Vikas Nagar,Deoria,Uttar Pradesh,274001
"303, Bungalow 3",Lal Bahadur Shastri Road,Opposite Hospital,Nehru Nagar,Lucknow,Uttar Pradesh,226001
"387, Bungalow 3",Ambedkar Road,Next to Temple,Nirala Nagar,Agra,Uttar Pradesh,282001
"451, Cottage 3",Tagore Road,Opposite Shopping Complex,Alambagh,Shahjahanpur,Uttar Pradesh,242001
"37, Cottage 9",Vikas Marg,Behind Post Office,Jankipuram,Ghaziabad,Uttar Pradesh,201001
"212, Villa 19",Tilak Road,Behind Govt. School,Mahanagar,Mathura,Uttar Pradesh,281001
"261, House 21",Gandhi Chowk,Close to Airport,Jankipuram,Mau,Uttar Pradesh,275101
"269, Villa 9",Tagore Road,Close to Airport,Aashiana,Hapur,Uttar Pradesh,245101
"317, Bungalow 14",Patel Marg,Next to Community Center,Cantt Area,Faizabad,Uttar Pradesh,224001
"253, Bungalow 14",Jawahar Road,Near Main Market,Shyam Nagar,Faizabad,Uttar Pradesh,224001
"217, Cottage 16",Vikas Marg,Near Stadium,Shyam Nagar,Noida,Uttar Pradesh,201301
"471, Flat 13",Lal Bahadur Shastri Road,Near Railway Station,Gomti Nagar,Varanasi,Uttar Pradesh,221001
"191, Cottage 2",Ambedkar Road,Near Railway Station,Swaroop Nagar,Rampur,Uttar Pradesh,244901
"347, House 27",Nehru Marg,Opposite City Mall,Lal Bangla,Noida,Uttar Pradesh,201301
"92, Apt. 22",Tagore Road,Near Railway Station,Chinhat,Lucknow,Uttar Pradesh,226001
"229, Apt. 10",Subhash Chauraha,Near Main Market,Chinhat,Lucknow,Uttar Pradesh,226001
"460, Cottage 24",Shastri Marg,Opposite Bank,Civil Lines,Faizabad,Uttar Pradesh,224001
"91, Villa 7",Tagore Road,Close to Airport,GT Road,Firozabad,Uttar Pradesh,283203
"422, House 19",Shivaji Marg,Opposite City Mall,Shahganj,Lucknow,Uttar Pradesh,226001
"111, Flat 18",Mahatma Gandhi Road,Near Stadium,Vikas Nagar,Varanasi,Uttar Pradesh,221001
"140, Bungalow 4",Sardar Patel Road,Behind Govt. School,Shyam Nagar,Ghaziabad,Uttar Pradesh,201001
"275, Villa 16",Ambedkar Road,Near Industrial Area,Chowk,Shahjahanpur,Uttar Pradesh,242001
"344, Apt. 8",Subhash Chauraha,Near University,Keshav Nagar,Farrukhabad,Uttar Pradesh,209625
"377, Flat 20",Subhash Chauraha,Opposite Shopping Complex,Kavi Nagar,Faizabad,Uttar Pradesh,224001
"259, House 21",Shivaji Marg,Next to Community Center,Kalyanpur,Lucknow,Uttar Pradesh,226001
"43, Apt. 17",Subhash Chauraha,Near Railway Station,Gomti Nagar,Prayagraj,Uttar Pradesh,211001
"283, Apt. 16",Rajendra Nagar Road,Opposite Bank,Saket Nagar,Shahjahanpur,Uttar Pradesh,242001
"182, Bungalow 26",Ambedkar Road,Next to Central Park,Alambagh,Agra,Uttar Pradesh,282001
"385, Villa 14",Vivekananda Path,Near University,Rambagh,Kanpur,Uttar Pradesh,208001
"169, Villa 26",Mahatma Gandhi Road,Opposite Shopping Complex,Tajganj,Meerut,Uttar Pradesh,250001
"44, Bungalow 8",Vivekananda Path,Near District Court,Kakadeo,Moradabad,Uttar Pradesh,244001
"200, Villa 22",Ambedkar Road,Close to Bus Stand,Kidwai Nagar,Hapur,Uttar Pradesh,245101
"403, Bungalow 13",Rajpath,Near Industrial Area,Tajganj,Bareilly,Uttar Pradesh,243001
"278, Villa 11",Lal Bahadur Shastri Road,Next to Central Park,Alambagh,Ghaziabad,Uttar Pradesh,201001
"182, Villa 21",Lal Bahadur Shastri Road,Opposite Shopping Complex,Shyam Nagar,Agra,Uttar Pradesh,282001
"160, Bungalow 8",Station Road,Close to Airport,Shastri Nagar,Bijnor,Uttar Pradesh,246701
"111, Cottage 11",Shastri Marg,Near Railway Station,Sikandra,Gorakhpur,Uttar Pradesh,273001
"107, Apt. 24",Mall Road,Near District Court,Charbagh,Noida,Uttar Pradesh,201301
"393, Villa 11",Nehru Marg,Close to Bus Stand,Swaroop Nagar,Prayagraj,Uttar Pradesh,211001
"358, Villa 18",Rajpath,Close to Bus Stand,Sarvodaya Nagar,Firozabad,Uttar Pradesh,283203
"262, Bungalow 19",Jawahar Road,Near Stadium,Chowk,Bijnor,Uttar Pradesh,246701
"200, Flat 18",Ashok Marg,Near Industrial Area,Kakadeo,Varanasi,Uttar Pradesh,221001
"149, Villa 9",Ashok Marg,Opposite Shopping Complex,Model Town,Mathura,Uttar Pradesh,281001
"390, House 16",Subhash Chauraha,Opposite Shopping Complex,Vijay Nagar,Agra,Uttar Pradesh,282001
"37, Apt. 25",Nehru Road,Next to Community Center,Aliganj,Meerut,Uttar Pradesh,250001
"54, Flat 6",Nehru Road,Opposite City Mall,Kamla Nagar,Muzaffarnagar,Uttar Pradesh,251001
"86, Flat 10",Vivekananda Path,Near Main Market,Jankipuram,Firozabad,Uttar Pradesh,283203
